Date,Open,High,Low,Close,Adj Close,Volume
5/3/2021,37,37.74000168,35.24000168,35.54000092,35.54000092,823100
5/4/2021,35,35.02999878,32.52999878,34.25,34.25,452000
5/5/2021,36.88000107,36.88000107,34.50999832,34.97000122,34.97000122,590700
5/6/2021,35.66999817,35.68999863,31.70000076,33.40000153,33.40000153,557300
5/7/2021,33.50999832,34.63999939,32.15000153,32.72000122,32.72000122,619900
5/10/2021,33.11000061,33.90000153,32.08000183,32.27999878,32.27999878,439000
5/11/2021,31.04999924,32.88999939,29.76000023,31.62000084,31.62000084,728400
5/12/2021,31.87999916,32.47999954,28.39999962,28.95000076,28.95000076,593700
5/13/2021,27.78000069,29.11000061,23.76000023,25.54999924,25.54999924,1421600
5/14/2021,27.54000092,29.70999908,26.59000015,29.70000076,29.70000076,831200
5/17/2021,27.12000084,28.79999924,25.38999939,26.52000046,26.52000046,805200
5/18/2021,26.95999908,28,24.54000092,24.69000053,24.69000053,883100
5/19/2021,19.5,24.09000015,18.17000008,23.12000084,23.12000084,1620900
5/20/2021,24.01000023,24.70000076,21.51000023,22.09000015,22.09000015,1727800
5/21/2021,22.97999954,22.97999954,18.11000061,18.43000031,18.43000031,1935000
5/25/2021,19.5,20.81999969,18.94000053,20,20,1732400
5/26/2021,20.79999924,23.02000046,20.13999939,22.97999954,22.97999954,1473700
5/27/2021,23.25,24.04000092,22.87999916,23.04000092,23.04000092,811700
5/28/2021,22.38999939,22.71999931,20.54999924,21.75,21.75,888700
5/31/2021,21.60000038,22.29999924,21.54000092,22.02000046,22.02000046,99100
6/1/2021,22.35000038,22.61000061,20.56999969,20.67000008,20.67000008,546500
6/2/2021,20.86000061,22.10000038,20.54999924,22.10000038,22.10000038,568900
6/3/2021,22.30999947,22.30999947,21.36000061,21.70000076,21.70000076,376900
6/4/2021,21,22.25,20.88999939,22.01000023,22.01000023,480400
6/7/2021,22,22.48999977,21.06999969,21.06999969,21.06999969,575800
6/8/2021,20.01000023,20.57999992,18.44499969,19.63999939,19.63999939,1461700
6/9/2021,19.54000092,22.89999962,19.45000076,22,22,1115100
6/10/2021,23.11000061,23.63999939,21.70999908,22.47999954,22.47999954,694800
6/11/2021,22.87000084,23.01000023,20.87000084,21.46999931,21.46999931,495200
6/14/2021,22.64999962,23.38999939,21.62000084,22.27000046,22.27000046,633900
6/15/2021,22.95000076,24.68000031,22.14999962,24.54999924,24.54999924,926700
6/16/2021,24.5,24.5,22.87999916,23.32999992,23.32999992,405300
6/17/2021,23.30999947,24.37000084,22.56999969,22.75,22.75,574700
6/18/2021,22.90999985,23.35000038,21.46999931,21.46999931,21.46999931,725200
6/21/2021,20.5,20.79999924,19.20999908,19.60000038,19.60000038,1007100
6/22/2021,18.5,20.10000038,17.27000046,19.87000084,19.87000084,1279200
6/23/2021,20.46999931,21.32999992,19.25,19.94000053,19.94000053,614400
6/24/2021,20.96999931,22.73999977,20.15999985,22.29999924,22.29999924,707900
6/25/2021,20.54999924,22.12000084,20.54000092,20.87999916,20.87999916,583100
6/28/2021,22,23.11000061,21.5,22.51000023,22.51000023,563800
